fit_model_type,model_parameter,subject,bootstrap_num,fit_value
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,0,0.03310194782810372
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,1,0.04852350871940074
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,2,0.04381533906134058
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,3,0.05291563796233098
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,4,0.042614425061456684
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,5,0.04269482701083751
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,6,0.028027935135823544
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,7,0.04126307158552673
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,8,0.02296483490059568
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,9,0.04260322710162065
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,10,0.057421448902948424
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,11,0.02093068801677133
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,12,0.03738567354896213
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,13,0.043026542322762304
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,14,0.035380582780692185
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,15,0.042391017352196636
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,16,0.04447118656655605
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,17,0.04385403066197514
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,18,0.04707278591841041
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,19,0.038588132583801615
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,20,0.055825438880376665
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,21,0.039691343649657984
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,22,0.0535445239496621
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,23,0.04474225401141299
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,24,0.03265803086030425
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,25,0.052251110981188516
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,26,0.021576344878826703
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,27,0.03822157095205708
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,28,0.035777631090155214
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,29,0.030825178251850518
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,30,0.03990307391161424
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,31,0.03650706538995825
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,32,0.059325966398448574
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,33,0.04929426618969174
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,34,0.04396060296269952
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,35,0.043041628492608425
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,36,0.03663233732166896
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,37,0.050226788035248215
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,38,0.040031662822843775
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,39,0.040828481348169986
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,40,0.046608080140307685
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,41,0.04310358008541832
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,42,0.019702918769279033
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,43,0.039609300383175734
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,44,0.03164146239930582
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,45,0.03858989335109439
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,46,0.04064320243826813
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,47,0.04315025870052898
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,48,0.04049327355777002
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,49,0.04468195147381305
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,50,0.043339862839917816
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,51,0.03677758357860025
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,52,0.0396307632704228
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,53,0.039303332720179884
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,54,0.0402769181702919
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,55,0.04403813600485503
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,56,0.04589335139154772
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,57,0.036578430262042924
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,58,0.04253571398763055
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,59,0.037132168029744235
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,60,0.04069967049052955
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,61,0.023519084708446263
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,62,0.040457517084296235
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,63,0.038703002106182126
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,64,0.03324924318562667
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,65,0.03267387348653979
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,66,0.043848531286081016
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,67,0.03812440356050982
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,68,0.038119648569470935
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,69,0.05737497994742807
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,70,0.033201965035060566
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,71,0.02934770573346573
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,72,0.041563295957356375
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,73,0.028931734151423513
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,74,0.03804392495531859
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,75,0.05350983402666557
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,76,0.04393123003628093
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,77,0.029646114603991736
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,78,0.031392507619681584
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,79,0.02192161977178808
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,80,0.022733859928032348
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,81,0.054851640503329815
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,82,0.03387932469642488
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,83,0.04158637801654429
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,84,0.028429078191337557
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,85,0.04622741343783834
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,86,0.03931404205228541
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,87,0.03444344107348196
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,88,0.033212295284624375
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,89,0.03932927843263815
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,90,0.0376046595965965
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,91,0.03626878863328785
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,92,0.0374645995224332
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,93,0.03341448392232346
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,94,0.036515305669831834
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,95,0.03362836000949482
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,96,0.05010683791293873
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,97,0.0490567886028924
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,98,0.038312914878890686
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,99,0.04848311190967986
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,0,-0.009675344830588621
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,1,-0.012609080080350865
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,2,-0.01337770443350744
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,3,-0.007918817015670378
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,4,-0.011574344008743808
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,5,-0.01090385563609692
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,6,-0.01385465103099565
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,7,-0.013695781234550827
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,8,-0.009346778987334608
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,9,-0.02562959335185183
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,10,-0.018601321174352425
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,11,-0.02024353977714726
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,12,-0.009189260796334284
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,13,-0.014575851937058956
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,14,-0.0076524274885416185
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,15,-0.007555749423360905
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,16,-0.002550855498842916
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,17,-0.02171307601955506
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,18,-0.012788688882383272
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,19,-0.0107144508263817
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,20,-0.011167294184357395
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,21,-0.01083468233207663
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,22,-0.003225707991268583
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,23,-0.010101211755494869
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,24,-0.009434506902855884
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,25,-0.01551094021518469
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,26,-0.015056878776476127
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,27,-0.02247498281265741
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,28,0.007657689704202823
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,29,0.00016048689204943152
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,30,-0.009196319486872098
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,31,-0.003086119951819555
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,32,-0.0040094267970775775
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,33,-0.0029496311970807067
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,34,-0.01055168998728652
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,35,-0.010599898008316714
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,36,-0.013714466995144056
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,37,-0.016917878618572666
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,38,-0.028123182107015213
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,39,-0.003480342391261484
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,40,-0.0023156351794426412
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,41,-0.021595374020611343
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,42,-0.008526699804903847
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,43,-0.0010786060895066807
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,44,-0.023684562632508663
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,45,-0.009073593382164862
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,46,-0.015284708163753562
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,47,-0.016244961318577927
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,48,-0.017885549964464603
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,49,-0.010615546145351628
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,50,-0.009128155100036645
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,51,-0.002174696420828375
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,52,0.008894036353476818
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,53,-0.023739959087233527
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,54,-0.019176574808693968
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,55,-0.008341210827809786
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,56,-0.003338203576346446
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,57,0.0012175478609584532
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,58,-0.009758385532355928
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,59,-0.02053068219890956
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,60,-0.008972574029626038
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,61,-0.01909599549107489
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,62,-0.010744964614237896
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,63,-0.007662345462201747
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,64,-0.01696400721350853
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,65,-0.013544627355607032
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,66,-0.0019105924067729157
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,67,-0.022605100725694226
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,68,-0.0008209639092461017
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,69,-0.014260566823156809
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,70,-0.0057773579574567436
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,71,-0.009123301526800682
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,72,-0.018546541759986518
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,73,-0.009397503918594952
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,74,-0.0041311248594614715
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,75,-0.013572027046254672
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,76,-0.01597667778276574
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,77,-0.01924024320029399
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,78,-0.016663184580969218
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,79,-0.01826074674736476
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,80,-0.014056995987595864
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,81,0.0010714964826002793
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,82,-0.010664695480129906
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,83,-0.014004444210917469
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,84,-0.01291176611714765
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,85,-0.009617088476549828
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,86,-0.0027515276310261234
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,87,-0.009619106890958282
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,88,-0.01140028956194563
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,89,-0.012790935330481873
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,90,-0.017661649219408708
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,91,-0.01704567231137856
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,92,-0.016390713792894668
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,93,-0.003167692663572068
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,94,-0.005934150162637033
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,95,-0.023611739811765738
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,96,-0.022648239688930857
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,97,-0.015633114146831332
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,98,-0.0074225028756175985
full_donut_period-full_amps-absolute,abs_amplitude_obliques,all,99,-0.009947817676333877
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,0,0.050264668207392484
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,1,0.0655420481143178
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,2,0.046635598735129735
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,3,0.08868658664583162
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,4,0.07827899476034421
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,5,0.0566491125389227
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,6,0.03766291510812452
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,7,0.06469935396874453
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,8,0.04175134209118976
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,9,0.05143133324275497
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,10,0.0732030424930275
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,11,0.051313532916590215
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,12,0.02399936665670429
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,13,0.09777093407850804
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,14,0.04783550840140292
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,15,0.03740976574251818
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,16,0.07757337754170163
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,17,0.038186104649893735
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,18,0.0443608092468491
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,19,0.051322491666306966
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,20,0.07836220044494828
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,21,0.06100910459755544
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,22,0.02767424568848801
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,23,0.08154113353432177
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,24,0.03889933818391658
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,25,0.06580746077080173
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,26,0.08315133701047657
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,27,0.0728839406643364
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,28,0.08124254335516233
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,29,0.05488586394147341
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,30,0.10449788095529812
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,31,0.07673711525101491
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,32,0.06409644097962429
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,33,0.04253919002248928
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,34,0.05185451250452288
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,35,0.12355582735397115
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,36,0.12134013626747332
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,37,0.041829590101162085
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,38,0.06815952219463814
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,39,0.052429201837859436
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,40,0.027868263325071987
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,41,0.09027127228038204
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,42,0.05127280699905341
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,43,0.0595240405378332
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,44,0.08164748604053293
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,45,0.04525775825898825
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,46,0.0705795284420904
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,47,0.057845266481068115
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,48,0.06075309056849994
full_donut_period-full_amps-absolute,abs_mode_cardinals,all,49,0.03207442322140548
